name,name_kn,brand,unit,mrp,stock,category,cost
Potato Chips,ಆಲೂಗಡ್ಡೆ ಚಿಪ್ಸ್,,52 g,,,Snacks & Biscuits,
Noodles,ನೂಡಲ್ಸ್,,70 g,,,Snacks & Biscuits,
Vermicelli,ಶಾವಿಗೆ,,400 g,,,Snacks & Biscuits,
Detergent Powder,ಪುಡಿ ಸೋಪು,,1 kg,,,Cleaning,
Detergent Bar,ಸೋಪು ಬಾರ್,,250 g,,,Cleaning,
Dishwash Bar,ಪಾತ್ರೆ ಸೋಪು,,300 g,,,Cleaning,
Dishwash Liquid,ಪಾತ್ರೆ ದ್ರವ,,500 ml,,,Cleaning,
Floor Cleaner,ನೆಲ ಕ್ಲೀನರ್,,1 L,,,Cleaning,
Toilet Cleaner,ಟಾಯ್ಲೆಟ್ ಕ್ಲೀನರ್,,500 ml,,,Cleaning,
Phenyl,ಫಿನಾಯಿಲ್,,1 L,,,Cleaning,
Bathing Soap,ಸ್ನಾನದ ಸೋಪು,,100 g,,,Personal Care,
Shampoo Sachet,ಶಾಂಪೂ,,5 ml,,,Personal Care,
Shampoo Bottle,ಶಾಂಪೂ,,180 ml,,,Personal Care,
Toothpaste,ಟೂತ್‌ಪೇಸ್ಟ್,,100 g,,,Personal Care,
Toothbrush,ಟೂತ್‌ಬ್ರಷ್,,1 pc,,,Personal Care,
Hair Oil,ಕೂದಲಿನ ಎಣ್ಣೆ,,100 ml,,,Personal Care,
Talcum Powder,ಪೌಡರ್,,100 g,,,Personal Care,
Sanitary Pads,ಸ್ಯಾನಿಟರಿ ಪ್ಯಾಡ್,,8 pcs,,,Personal Care,
Shaving Cream,ಶೇವಿಂಗ್ ಕ್ರೀಮ್,,70 g,,,Personal Care,
Onion,ಈರುಳ್ಳಿ,,1 kg,,,Fruits & Vegetables,
Potato,ಆಲೂಗಡ್ಡೆ,,1 kg,,,Fruits & Vegetables,
Tomato,ಟೊಮ್ಯಾಟೊ,,1 kg,,,Fruits & Vegetables,
Green Chilli,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,,250 g,,,Fruits & Vegetables,
Ginger,ಶುಂಠಿ,,250 g,,,Fruits & Vegetables,
Garlic,ಬೆಳ್ಳುಳ್ಳಿ,,250 g,,,Fruits & Vegetables,
Coriander Leaves,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,,1 bunch,,,Fruits & Vegetables,
Curry Leaves,ಕರಿಬೇವು,,1 bunch,,,Fruits & Vegetables,
Banana,ಬಾಳೆಹಣ್ಣು,,6 pcs,,,Fruits & Vegetables,
Lemon,ನಿಂಬೆಹಣ್ಣು,,4 pcs,,,Fruits & Vegetables,
Agarbatti,ಅಗರಬತ್ತಿ,,1 pack,,,Household,
Matchbox,ಬೆಂಕಿಪೊಟ್ಟಣ,,1 pc,,,Household,
Candle,ಮೇಣದಬತ್ತಿ,,1 pack,,,Household,
Garbage Bags,ಕಸದ ಚೀಲ,,30 pcs,,,Household,
Aluminium Foil,ಅಲ್ಯೂಮಿನಿಯಂ ಫಾಯಿಲ್,,9 m,,,Household,
